orthography,letters,fourteen
zeroes,z-0 e-1 r-2 o-3 e-4 s-5,0-0 3-0 8-0 11-0 1-neg-0 2-neg-0 4-neg-0 5-neg-0 6-neg-0 7-neg-0 9-neg-0 10-neg-0 12-neg-0 13-neg-0 0-1 3-1 4-1 5-1 9-1 1-neg-1 2-neg-1 6-neg-1 7-neg-1 8-neg-1 10-neg-1 11-neg-1 12-neg-1 13-neg-1 0-2 1-2 4-2 5-2 9-2 10-2 13-2 2-neg-2 3-neg-2 6-neg-2 7-neg-2 8-neg-2 11-neg-2 12-neg-2 0-3 1-3 2-3 3-3 4-3 5-3 6-neg-3 7-neg-3 8-neg-3 9-neg-3 10-neg-3 11-neg-3 12-neg-3 13-neg-3 0-4 3-4 4-4 5-4 9-4 1-neg-4 2-neg-4 6-neg-4 7-neg-4 8-neg-4 10-neg-4 11-neg-4 12-neg-4 13-neg-4 0-5 2-5 3-5 5-5 9-5 10-5 1-neg-5 4-neg-5 6-neg-5 7-neg-5 8-neg-5 11-neg-5 12-neg-5 13-neg-5
zest,z-0 e-1 s-2 t-3  -4  -5,0-0 3-0 8-0 11-0 1-neg-0 2-neg-0 4-neg-0 5-neg-0 6-neg-0 7-neg-0 9-neg-0 10-neg-0 12-neg-0 13-neg-0 0-1 3-1 4-1 5-1 9-1 1-neg-1 2-neg-1 6-neg-1 7-neg-1 8-neg-1 10-neg-1 11-neg-1 12-neg-1 13-neg-1 0-2 2-2 3-2 5-2 9-2 10-2 1-neg-2 4-neg-2 6-neg-2 7-neg-2 8-neg-2 11-neg-2 12-neg-2 13-neg-2 0-3 7-3 12-3 1-neg-3 2-neg-3 3-neg-3 4-neg-3 5-neg-3 6-neg-3 8-neg-3 9-neg-3 10-neg-3 11-neg-3 13-neg-3 0-neg-4 1-neg-4 2-neg-4 3-neg-4 4-neg-4 5-neg-4 6-neg-4 7-neg-4 8-neg-4 9-neg-4 10-neg-4 11-neg-4 12-neg-4 13-neg-4 0-neg-5 1-neg-5 2-neg-5 3-neg-5 4-neg-5 5-neg-5 6-neg-5 7-neg-5 8-neg-5 9-neg-5 10-neg-5 11-neg-5 12-neg-5 13-neg-5
zinc,z-0 i-1 n-2 c-3  -4  -5,0-0 3-0 8-0 11-0 1-neg-0 2-neg-0 4-neg-0 5-neg-0 6-neg-0 7-neg-0 9-neg-0 10-neg-0 12-neg-0 13-neg-0 0-1 3-1 7-1 12-1 1-neg-1 2-neg-1 4-neg-1 5-neg-1 6-neg-1 8-neg-1 9-neg-1 10-neg-1 11-neg-1 13-neg-1 1-2 2-2 4-2 5-2 6-2 13-2 0-neg-2 3-neg-2 7-neg-2 8-neg-2 9-neg-2 10-neg-2 11-neg-2 12-neg-2 0-3 3-3 4-3 5-3 1-neg-3 2-neg-3 6-neg-3 7-neg-3 8-neg-3 9-neg-3 10-neg-3 11-neg-3 12-neg-3 13-neg-3 0-neg-4 1-neg-4 2-neg-4 3-neg-4 4-neg-4 5-neg-4 6-neg-4 7-neg-4 8-neg-4 9-neg-4 10-neg-4 11-neg-4 12-neg-4 13-neg-4 0-neg-5 1-neg-5 2-neg-5 3-neg-5 4-neg-5 5-neg-5 6-neg-5 7-neg-5 8-neg-5 9-neg-5 10-neg-5 11-neg-5 12-neg-5 13-neg-5
zing,z-0 i-1 n-2 g-3  -4  -5,0-0 3-0 8-0 11-0 1-neg-0 2-neg-0 4-neg-0 5-neg-0 6-neg-0 7-neg-0 9-neg-0 10-neg-0 12-neg-0 13-neg-0 0-1 3-1 7-1 12-1 1-neg-1 2-neg-1 4-neg-1 5-neg-1 6-neg-1 8-neg-1 9-neg-1 10-neg-1 11-neg-1 13-neg-1 1-2 2-2 4-2 5-2 6-2 13-2 0-neg-2 3-neg-2 7-neg-2 8-neg-2 9-neg-2 10-neg-2 11-neg-2 12-neg-2 0-3 2-3 3-3 4-3 5-3 10-3 1-neg-3 6-neg-3 7-neg-3 8-neg-3 9-neg-3 11-neg-3 12-neg-3 13-neg-3 0-neg-4 1-neg-4 2-neg-4 3-neg-4 4-neg-4 5-neg-4 6-neg-4 7-neg-4 8-neg-4 9-neg-4 10-neg-4 11-neg-4 12-neg-4 13-neg-4 0-neg-5 1-neg-5 2-neg-5 3-neg-5 4-neg-5 5-neg-5 6-neg-5 7-neg-5 8-neg-5 9-neg-5 10-neg-5 11-neg-5 12-neg-5 13-neg-5
zone,z-0 o-1 n-2 e-3  -4  -5,0-0 3-0 8-0 11-0 1-neg-0 2-neg-0 4-neg-0 5-neg-0 6-neg-0 7-neg-0 9-neg-0 10-neg-0 12-neg-0 13-neg-0 0-1 1-1 2-1 3-1 4-1 5-1 6-neg-1 7-neg-1 8-neg-1 9-neg-1 10-neg-1 11-neg-1 12-neg-1 13-neg-1 1-2 2-2 4-2 5-2 6-2 13-2 0-neg-2 3-neg-2 7-neg-2 8-neg-2 9-neg-2 10-neg-2 11-neg-2 12-neg-2 0-3 3-3 4-3 5-3 9-3 1-neg-3 2-neg-3 6-neg-3 7-neg-3 8-neg-3 10-neg-3 11-neg-3 12-neg-3 13-neg-3 0-neg-4 1-neg-4 2-neg-4 3-neg-4 4-neg-4 5-neg-4 6-neg-4 7-neg-4 8-neg-4 9-neg-4 10-neg-4 11-neg-4 12-neg-4 13-neg-4 0-neg-5 1-neg-5 2-neg-5 3-neg-5 4-neg-5 5-neg-5 6-neg-5 7-neg-5 8-neg-5 9-neg-5 10-neg-5 11-neg-5 12-neg-5 13-neg-5
zoom,z-0 o-1 o-2 m-3  -4  -5,0-0 3-0 8-0 11-0 1-neg-0 2-neg-0 4-neg-0 5-neg-0 6-neg-0 7-neg-0 9-neg-0 10-neg-0 12-neg-0 13-neg-0 0-1 1-1 2-1 3-1 4-1 5-1 6-neg-1 7-neg-1 8-neg-1 9-neg-1 10-neg-1 11-neg-1 12-neg-1 13-neg-1 0-2 1-2 2-2 3-2 4-2 5-2 6-neg-2 7-neg-2 8-neg-2 9-neg-2 10-neg-2 11-neg-2 12-neg-2 13-neg-2 1-3 2-3 4-3 5-3 6-3 8-3 0-neg-3 3-neg-3 7-neg-3 9-neg-3 10-neg-3 11-neg-3 12-neg-3 13-neg-3 0-neg-4 1-neg-4 2-neg-4 3-neg-4 4-neg-4 5-neg-4 6-neg-4 7-neg-4 8-neg-4 9-neg-4 10-neg-4 11-neg-4 12-neg-4 13-neg-4 0-neg-5 1-neg-5 2-neg-5 3-neg-5 4-neg-5 5-neg-5 6-neg-5 7-neg-5 8-neg-5 9-neg-5 10-neg-5 11-neg-5 12-neg-5 13-neg-5
woke,w-0 o-1 k-2 e-3  -4  -5,1-0 2-0 4-0 5-0 11-0 13-0 0-neg-0 3-neg-0 6-neg-0 7-neg-0 8-neg-0 9-neg-0 10-neg-0 12-neg-0 0-1 1-1 2-1 3-1 4-1 5-1 6-neg-1 7-neg-1 8-neg-1 9-neg-1 10-neg-1 11-neg-1 12-neg-1 13-neg-1 4-2 5-2 8-2 9-2 13-2 0-neg-2 1-neg-2 2-neg-2 3-neg-2 6-neg-2 7-neg-2 10-neg-2 11-neg-2 12-neg-2 0-3 3-3 4-3 5-3 9-3 1-neg-3 2-neg-3 6-neg-3 7-neg-3 8-neg-3 10-neg-3 11-neg-3 12-neg-3 13-neg-3 0-neg-4 1-neg-4 2-neg-4 3-neg-4 4-neg-4 5-neg-4 6-neg-4 7-neg-4 8-neg-4 9-neg-4 10-neg-4 11-neg-4 12-neg-4 13-neg-4 0-neg-5 1-neg-5 2-neg-5 3-neg-5 4-neg-5 5-neg-5 6-neg-5 7-neg-5 8-neg-5 9-neg-5 10-neg-5 11-neg-5 12-neg-5 13-neg-5
wolf,w-0 o-1 l-2 f-3  -4  -5,1-0 2-0 4-0 5-0 11-0 13-0 0-neg-0 3-neg-0 6-neg-0 7-neg-0 8-neg-0 9-neg-0 10-neg-0 12-neg-0 0-1 1-1 2-1 3-1 4-1 5-1 6-neg-1 7-neg-1 8-neg-1 9-neg-1 10-neg-1 11-neg-1 12-neg-1 13-neg-1 3-2 4-2 5-2 0-neg-2 1-neg-2 2-neg-2 6-neg-2 7-neg-2 8-neg-2 9-neg-2 10-neg-2 11-neg-2 12-neg-2 13-neg-2 0-3 4-3 5-3 9-3 1-neg-3 2-neg-3 3-neg-3 6-neg-3 7-neg-3 8-neg-3 10-neg-3 11-neg-3 12-neg-3 13-neg-3 0-neg-4 1-neg-4 2-neg-4 3-neg-4 4-neg-4 5-neg-4 6-neg-4 7-neg-4 8-neg-4 9-neg-4 10-neg-4 11-neg-4 12-neg-4 13-neg-4 0-neg-5 1-neg-5 2-neg-5 3-neg-5 4-neg-5 5-neg-5 6-neg-5 7-neg-5 8-neg-5 9-neg-5 10-neg-5 11-neg-5 12-neg-5 13-neg-5
womb,w-0 o-1 m-2 b-3  -4  -5,1-0 2-0 4-0 5-0 11-0 13-0 0-neg-0 3-neg-0 6-neg-0 7-neg-0 8-neg-0 9-neg-0 10-neg-0 12-neg-0 0-1 1-1 2-1 3-1 4-1 5-1 6-neg-1 7-neg-1 8-neg-1 9-neg-1 10-neg-1 11-neg-1 12-neg-1 13-neg-1 1-2 2-2 4-2 5-2 6-2 8-2 0-neg-2 3-neg-2 7-neg-2 9-neg-2 10-neg-2 11-neg-2 12-neg-2 13-neg-2 0-3 1-3 2-3 3-3 7-3 9-3 12-3 4-neg-3 5-neg-3 6-neg-3 8-neg-3 10-neg-3 11-neg-3 13-neg-3 0-neg-4 1-neg-4 2-neg-4 3-neg-4 4-neg-4 5-neg-4 6-neg-4 7-neg-4 8-neg-4 9-neg-4 10-neg-4 11-neg-4 12-neg-4 13-neg-4 0-neg-5 1-neg-5 2-neg-5 3-neg-5 4-neg-5 5-neg-5 6-neg-5 7-neg-5 8-neg-5 9-neg-5 10-neg-5 11-neg-5 12-neg-5 13-neg-5
wont,w-0 o-1 n-2 t-3  -4  -5,1-0 2-0 4-0 5-0 11-0 13-0 0-neg-0 3-neg-0 6-neg-0 7-neg-0 8-neg-0 9-neg-0 10-neg-0 12-neg-0 0-1 1-1 2-1 3-1 4-1 5-1 6-neg-1 7-neg-1 8-neg-1 9-neg-1 10-neg-1 11-neg-1 12-neg-1 13-neg-1 1-2 2-2 4-2 5-2 6-2 13-2 0-neg-2 3-neg-2 7-neg-2 8-neg-2 9-neg-2 10-neg-2 11-neg-2 12-neg-2 0-3 7-3 12-3 1-neg-3 2-neg-3 3-neg-3 4-neg-3 5-neg-3 6-neg-3 8-neg-3 9-neg-3 10-neg-3 11-neg-3 13-neg-3 0-neg-4 1-neg-4 2-neg-4 3-neg-4 4-neg-4 5-neg-4 6-neg-4 7-neg-4 8-neg-4 9-neg-4 10-neg-4 11-neg-4 12-neg-4 13-neg-4 0-neg-5 1-neg-5 2-neg-5 3-neg-5 4-neg-5 5-neg-5 6-neg-5 7-neg-5 8-neg-5 9-neg-5 10-neg-5 11-neg-5 12-neg-5 13-neg-5
