orthography,frequency
zero,21.45
zest,0.69
zinc,0.84
zing,1.18
zone,20.12
zoom,3.55
woke,26.35
wolf,20.27
womb,3.47
wont,1.59
wood,27.0
woof,2.76
wool,3.16
word,235.55
wore,21.2
work,798.02
worm,10.12
worn,10.08
wort,0.37
wove,0.24
wrap,17.8
wren,0.37
writ,1.73
yaks,0.14
yank,4.71
yard,25.06
yarn,1.59
yawl,0.24
yawn,1.0
yaws,0.02
yeah,2985.53
year,277.92
yell,18.41
yelp,0.14
yeti,0.27
yoga,4.45
yoke,0.43
yolk,0.41
yore,0.25
your,6445.39
yowl,0.02
zany,0.2
zeal,0.61
when,2034.1
whet,0.16
whey,0.08
whig,0.06
whim,2.33
whip,13.16
whir,0.1
whiz,3.9
whoa,157.31
whom,35.2
wick,2.51
wide,23.8
wife,348.92
wild,57.31
wile,0.41
will,2123.65
wilt,1.82
wily,0.63
wind,59.37
wine,60.35
wing,20.24
wink,3.53
wins,19.37
wipe,16.88
wire,27.51
wiry,0.35
wise,28.47
wish,235.12
wisp,0.41
with,5048.33
wits,2.86
wand,3.08
wane,0.25
want,2759.18
ward,14.25
ware,2.2
warm,52.14
warn,25.35
warp,5.49
wars,9.12
wart,1.24
wary,0.75
wash,40.73
wasp,1.43
watt,1.88
wave,21.25
wavy,0.55
waxy,0.39
ways,51.63
weak,31.51
wean,0.25
wear,109.33
weed,11.76
week,238.51
weep,5.49
weir,0.92
weld,0.63
well,2990.65
welt,0.18
went,411.51
wept,1.39
were,1662.82
west,60.55
wham,1.92
what,9842.45
veto,0.9
vial,1.29
vice,18.63
vied,0.08
vies,0.02
view,38.53
vile,4.43
vine,2.1
visa,4.24
vise,0.39
viva,3.12
void,4.1
volt,0.18
vote,34.33
vows,6.49
wack,1.71
wade,16.47
wads,0.18
waft,0.16
wage,3.12
waif,0.33
wail,0.86
wait,830.25
wake,105.22
walk,215.86
wall,70.69
urea,0.04
urge,6.65
urns,0.14
used,344.14
user,1.55
uses,15.25
vain,6.51
vale,1.47
vamp,0.92
vane,0.31
vary,0.92
vase,3.84
vast,6.1
veal,3.55
veer,1.08
veil,2.96
vein,3.59
vent,4.41
verb,1.06
very,1241.25
vest,5.57
unto,7.63
upon,62.73
undo,4.37
unit,36.18
turd,2.76
turf,4.27
turn,306.47
tush,1.29
tusk,0.25
tutu,0.69
twig,1.35
twin,10.43
twit,1.39
twos,1.51
tyke,0.53
type,60.65
ugly,42.16
ulna,0.35
trap,23.84
tray,8.04
tree,65.0
trek,4.49
trig,0.76
trim,4.27
trio,1.29
trip,82.39
trot,1.8
tsar,0.37
tuba,1.2
tube,16.43
tubs,0.9
tuck,7.96
tuft,0.04
tuna,8.0
tune,15.61
told,699.59
toll,3.35
tomb,5.63
tome,0.76
tone,16.86
tong,2.27
tons,9.41
took,342.24
tool,10.75
toot,1.57
tops,7.35
tore,8.29
torn,10.84
tort,0.18
toss,12.39
tote,1.08
tour,30.8
tout,1.08
town,247.92
toys,13.22
tram,1.37
thin,20.18
this,7978.73
thou,22.43
thru,0.61
thud,1.94
thug,3.49
thus,12.31
tick,7.25
tide,7.35
tidy,3.71
tied,26.75
tier,1.06
ties,9.84
tiff,0.86
tile,2.12
till,166.73
tilt,2.22
time,1958.63
tint,0.29
tiny,32.22
tips,9.16
tire,12.37
tits,12.29
toad,5.69
toes,12.51
tofu,2.69
toga,0.92
togs,0.24
toil,1.0
tell,1724.49
temp,3.02
tend,12.27
tens,2.24
tent,17.49
term,17.45
test,84.08
text,5.24
than,738.8
that,14111.31
thaw,1.59
thee,26.02
them,1778.82
then,1489.53
they,4102.94
sync,3.29
tabs,2.12
tack,2.12
tact,1.1
tags,3.55
tail,23.9
take,1891.04
talc,0.24
tale,12.0
talk,855.0
tall,32.33
tame,2.73
tamp,0.06
tang,2.24
tank,25.61
tape,68.84
taps,2.55
tare,0.08
tart,2.39
task,12.73
taut,0.69
taxi,25.84
teal,0.51
team,147.61
tear,27.0
teas,0.51
teat,0.31
tech,6.39
teem,0.04
teen,4.1
sure,1099.82
surf,6.35
swab,2.37
swag,0.49
swam,2.41
swan,6.82
swap,3.63
swat,3.84
sway,2.53
swig,0.94
swim,31.8
swum,0.39
subs,3.0
such,291.22
suck,34.88
suds,0.47
sued,4.86
sues,0.63
suit,68.61
sulk,0.75
sums,1.73
sung,3.49
sunk,4.65
suns,0.94
stir,5.9
stop,707.27
stow,1.25
stub,0.96
stud,6.94
stun,1.88
stab,8.76
stag,1.59
star,81.35
stat,2.8
stay,515.65
stem,2.24
step,118.67
stew,6.43
spat,1.55
spay,0.12
spec,0.86
sped,0.63
spew,0.47
spin,14.63
spit,19.35
spot,61.57
spry,0.63
spud,0.92
spun,1.69
spur,1.43
snot,2.12
snow,31.35
snub,0.39
snug,1.43
soak,3.45
soap,15.2
soar,1.53
sobs,2.59
sock,8.98
soda,19.84
sofa,5.86
soft,32.02
soil,7.78
sold,52.06
sole,5.25
solo,8.55
soma,0.24
some,1727.24
song,93.69
sons,18.06
soon,257.65
soot,1.08
sops,0.02
sore,15.0
sort,148.71
soul,76.96
soup,25.2
sour,5.82
sown,0.33
spam,1.16
span,1.98
spar,0.71
slab,1.84
slag,0.76
slam,5.8
slap,12.47
slat,0.08
slaw,0.33
slay,2.14
sled,2.92
slew,1.31
slid,1.84
slim,11.86
slip,25.88
slit,3.8
slob,3.57
sloe,0.06
slop,1.84
slot,5.49
slow,76.02
slug,4.96
slum,1.27
slur,0.47
slut,11.35
smog,1.08
smug,2.39
smut,1.37
snag,1.9
snap,17.39
snip,2.12
snob,2.18
shun,0.51
shut,263.82
sick,165.43
side,200.92
sift,0.75
sigh,3.39
sign,133.27
sikh,0.22
silk,9.78
sill,0.45
silo,0.94
silt,0.33
sine,0.18
sing,97.59
sink,16.92
sins,8.92
sire,13.16
sirs,3.8
site,19.22
sits,9.96
size,46.14
skew,0.14
skid,2.18
skim,0.84
skin,44.04
skip,21.1
skis,1.35
skit,0.82
shag,1.9
shah,0.84
sham,1.51
shaw,10.04
shed,10.98
shim,0.16
shin,3.08
ship,98.88
shod,0.12
shoe,30.39
shoo,5.24
shop,53.55
shot,227.43
show,488.35
sect,0.73
seed,7.57
seek,18.31
seem,139.82
seen,384.96
seep,0.18
seer,1.47
sees,37.24
self,14.16
sell,92.25
semi,2.33
send,179.78
sent,138.0
serf,0.18
sets,14.92
sewn,1.29
sexy,29.98
scar,8.47
scat,1.27
scud,0.61
scum,9.9
seal,14.75
seam,0.65
sear,0.22
seas,4.37
seat,78.78
sack,12.92
safe,143.2
saga,0.78
sage,1.75
sags,0.1
said,1108.45
sail,13.75
sake,64.16
sale,25.39
salt,19.51
same,417.18
sand,20.29
sane,5.51
sang,8.22
sank,2.16
sans,0.47
saps,0.69
sash,1.14
sass,0.92
sate,0.08
save,162.31
saws,0.47
says,320.71
scab,0.63
scan,9.41
road,111.94
roam,3.39
roar,4.02
robe,8.49
robs,0.9
rock,86.16
rode,10.39
rods,1.8
role,18.22
roll,63.27
romp,0.53
roof,35.65
rook,1.39
room,439.51
root,10.47
rope,22.71
rose,53.02
rosy,3.31
rote,0.12
rots,0.86
rout,0.35
rove,1.14
rows,1.8
ruby,11.9
rude,22.06
rugs,1.24
ruin,28.53
rule,48.14
rump,1.41
rune,0.98
rung,1.39
runs,32.1
runt,2.45
ruse,1.67
rush,31.41
rusk,0.47
rust,2.49
ruts,0.08
ribs,8.35
rice,15.08
rich,80.39
ride,135.37
rife,0.51
riff,1.12
rift,1.08
rigs,0.53
rile,0.33
rime,0.12
rims,0.76
rind,0.27
ring,92.75
rink,2.14
riot,6.49
ripe,4.18
rise,27.43
risk,49.04
rite,1.45
ritz,2.63
reps,0.9
rest,212.96
rein,0.76
rely,7.18
rend,0.31
rent,34.55
rear,12.43
redo,1.59
reds,2.33
reed,9.1
reef,4.0
reek,0.9
reel,3.25
rack,7.78
race,61.9
racy,0.96
raft,4.71
rage,11.31
rags,3.16
raid,8.55
rail,4.57
rain,48.9
rake,2.98
ramp,2.88
rand,2.35
rang,5.43
rank,8.49
rant,0.67
rape,16.0
rapt,0.24
rare,21.31
rash,8.04
rasp,0.1
rate,24.92
rats,16.63
rave,2.53
rays,4.33
raze,0.16
read,241.22
real,442.8
ream,0.22
reap,2.59
pubs,0.35
puce,0.24
puck,2.88
puff,4.45
puke,6.25
pull,146.45
pulp,1.82
puma,0.14
pump,12.65
punk,21.98
punt,0.73
puny,1.45
pupa,0.27
pups,0.9
pure,24.92
purr,0.76
push,70.55
puss,2.92
puts,24.0
putt,1.14
pyre,0.29
quad,1.55
quip,0.14
quit,90.1
quiz,4.94
prom,17.76
prop,3.69
pros,3.06
prow,0.12
prep,7.55
prey,5.51
prim,0.37
prod,0.69
prof,2.96
poor,129.08
pops,11.73
pore,0.47
pork,10.53
porn,11.61
port,14.53
pose,6.8
posh,1.27
post,32.43
posy,0.18
pots,3.55
pour,15.12
pout,1.08
pram,0.22
pray,36.22
play,354.53
plea,6.84
plod,0.1
plop,0.84
plot,11.59
plow,1.88
ploy,1.53
plug,10.41
plum,3.41
plus,47.04
pock,0.08
pods,1.98
poem,13.65
poet,9.22
poke,5.84
poky,0.1
pole,12.59
poll,2.49
polo,3.49
pomp,0.39
pond,6.33
pong,1.61
pony,8.1
poof,2.16
pool,46.98
poop,5.59
pick,198.39
pica,0.08
pied,0.37
pier,6.55
pies,3.45
pigs,13.29
pike,4.59
pile,13.18
pill,11.82
pimp,8.63
pine,6.2
ping,3.29
pink,28.47
pins,4.49
pint,3.27
pipe,19.39
pish,0.22
piss,23.59
pith,0.2
pits,3.14
pity,23.51
plan,145.73
pegs,0.27
pelt,0.94
pens,2.53
peon,0.22
perk,1.41
perm,1.0
pert,0.49
peso,0.25
pest,2.86
pets,5.69
pews,0.14
phew,2.1
pare,0.12
park,72.12
pars,0.04
part,261.51
pass,108.12
past,123.76
pate,0.65
path,24.55
pave,0.39
pawn,4.33
paws,2.49
pays,14.02
peak,5.94
peal,0.14
pear,1.33
peas,4.65
peat,0.25
peck,3.53
pecs,0.63
peed,2.63
peek,5.33
peel,5.35
peep,4.43
peer,1.53
ovum,0.14
owed,7.33
owes,9.37
owls,2.12
owns,19.14
oxen,0.43
pace,9.57
pack,43.82
pact,3.76
pads,3.16
page,37.49
paid,85.67
pail,0.94
pain,97.94
pair,37.25
pale,8.02
pall,0.45
palm,13.24
pals,5.88
